bankA year sizeofA bankB sizeofB diff
1069778 1990 17.63704872 1078921 15.81127833 1.825770392
1073757 1990 17.99426543 1094211 15.84940594 2.144859487
1140743 1990 16.97617346 1199460 13.97051744 3.005656013
1120754 1990 17.23735661 1078604 15.9808052 1.256551412
1120754 1990 17.23735661 1119794 16.75998433 0.477372288
1068294 1990 17.5913207 1076776 17.28790813 0.303412576
1073757 1990 17.99426543 1117679 13.74849003 4.245775404
1069125 1990 16.98278251 1070251 15.65532722 1.32745529
1140743 1990 16.97617346 1199611 16.28268704 0.693486419
1068294 1990 17.5913207 1025309 16.18561756 1.405703143
1068294 1990 17.5913207 1102367 14.99781826 2.593502445
1037115 1990 18.34921862 1199497 15.82508595 2.524132674
1120754 1990 17.23735661 1199778 17.10191788 0.135438731
1069778 1990 17.63704872 1113514 17.29696641 0.340082312
1069125 1990 16.98278251 1024058 15.68473742 1.298045092
1037115 1990 18.34921862 1094369 15.20298173 3.146236893
1069778 1990 17.63704872 1023538 17.75430113 0.117252413
1073757 1990 17.99426543 1199778 17.10191788 0.892347547
1073757 1990 17.99426543 1033872 16.3663514 1.627914035
1069778 1990 17.63704872 1078604 15.9808052 1.656243519
1120754 1990 17.23735661 1026016 18.5225873 1.285230687
1073757 1990 17.99426543 1074156 15.022153 2.972112434
1037115 1990 18.34921862 1027004 15.08500983 3.264208786
1069125 1990 16.98278251 1070345 15.88971566 1.09306685
1068294 1990 17.5913207 1093634 14.56646616 3.024854541
1039502 1990 18.10623024 1048513 13.74488528 4.361344956
1120754 1990 17.23735661 1199844 16.4413856 0.795971018
1037115 1990 18.34921862 1080371 15.31369485 3.035523773
1069125 1990 16.98278251 1079946 15.41014991 1.572632604
1120754 1990 17.23735661 1042351 19.19534339 1.957986779
1120754 1990 17.23735661 1110344 16.12626152 1.111095095
1039502 1990 18.10623024 1027004 15.08500983 3.021220406
1140743 1990 16.97617346 1042351 19.19534339 2.219169938
1073757 1990 17.99426543 1111435 16.27089553 1.723369897
1073757 1990 17.99426543 1116300 16.97821125 1.016054175
1140743 1990 16.97617346 1111435 16.27089553 0.705277922
1068294 1990 17.5913207 1080371 15.31369485 2.277625858
1039502 1990 18.10623024 1025309 16.18561756 1.920612678
1140743 1990 16.97617346 1033872 16.3663514 0.60982206
1069125 1990 16.98278251 1033470 17.63079909 0.648016578
1120754 1990 17.23735661 1078921 15.81127833 1.426078286
1068294 1990 17.5913207 1078921 15.81127833 1.780042376
1039502 1990 18.10623024 1049154 14.94499955 3.161230689
1068294 1990 17.5913207 1077689 16.4100456 1.181275102
1120754 1990 17.23735661 1072237 16.29046367 0.946892946
1069125 1990 16.98278251 1199611 16.28268704 0.700095477
1073757 1990 17.99426543 1024058 15.68473742 2.309528008
1120754 1990 17.23735661 1048513 13.74488528 3.492471331
1069125 1990 16.98278251 1199844 16.4413856 0.541396918
1068294 1990 17.5913207 1078426 15.68573904 1.905581669
1068294 1990 17.5913207 1079441 16.01338648 1.577934226
1039502 1990 18.10623024 1075126 15.77480544 2.331424795
1069125 1990 16.98278251 1031449 13.41800618 3.564776335
1068294 1990 17.5913207 1027004 15.08500983 2.506310872
1120754 1990 17.23735661 1073364 17.09318508 0.144171539
1069125 1990 16.98278251 1072291 16.155324 0.827458518
1073757 1990 17.99426543 1094640 15.7187625 2.275502926
1039502 1990 18.10623024 1049341 15.72310821 2.383122029
1068294 1990 17.5913207 1199778 17.10191788 0.489402822
1120754 1990 17.23735661 1073551 17.52372005 0.286363438
1069125 1990 16.98278251 1027518 15.41763076 1.565151753
1068294 1990 17.5913207 1049154 14.94499955 2.646321154
1069778 1990 17.63704872 1070345 15.88971566 1.747333057
1069778 1990 17.63704872 1080371 15.31369485 2.323353874
1068294 1990 17.5913207 1025701 16.68812899 0.903191717
1069125 1990 16.98278251 1027602 14.95063734 2.032145177
1120754 1990 17.23735661 1117679 13.74849003 3.488866588
1069778 1990 17.63704872 1199714 16.21316289 1.423885829
1068294 1990 17.5913207 1026016 18.5225873 0.931266597
1120754 1990 17.23735661 1094369 15.20298173 2.034374888
1069125 1990 16.98278251 1035296 17.93503542 0.952252905
1069778 1990 17.63704872 1073551 17.52372005 0.113328669
